Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C7, C8, C9",1210,6,100n,
"C4, C6",1210,2,22p,
C5,1210,1,10µ,
D1,1206,1,RED,
D2,1206,1,GREEN,
D3,1206,1,BLUE,
D4,D_SMA,1,SMAJ5.0A,
DS1,WC1602A,1,HY1602E,
FB1,Ferrite_1210_3225Metric_Pad1.42x2.65mm_BigPads,1,300Ω@100MHz,
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
"J3, J4",ScrewTerminal_1x02_P3.5mm_Horizontal_Black,2,3.5mm,
J5,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16_Socket,
Q1,TO-92_Inline_Wide_EBC,1,2N3904,
"R1, R2",1210,2,5.1K,
"R10, R9",1210,2,1k,
R11,R_Shunt_Ohmite_LVK12,1,"0,02",
R3,1210,1,10k,
"R4, R5, R6",1210,3,470,
"R7, R8",1210,2,4.7k,
TP1,TestPoint-0.75mm,1,LED_R,
TP10,TestPoint-0.75mm,1,P3,
TP11,TestPoint-0.75mm,1,P5,
TP12,TestPoint-0.75mm,1,P7,
TP13,TestPoint-0.75mm,1,P0,
TP14,TestPoint-0.75mm,1,P2,
TP15,TestPoint-0.75mm,1,P4,
TP16,TestPoint-0.75mm,1,P6,
"TP17, TP18",TestPoint-0.75mm,2,Mesure,
TP2,TestPoint-0.75mm,1,LED_G,
TP3,TestPoint-0.75mm,1,Led_B,
TP4,TestPoint-0.75mm,1,SCL_INA226,
TP5,TestPoint-0.75mm,1,SDA_INA226,
TP6,TestPoint-0.75mm,1,5V,
TP7,TestPoint-0.75mm,1,INPUT,
TP8,TestPoint-0.75mm,1,OUTPUT,
TP9,TestPoint-0.75mm,1,P1,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,PCF8574AT,
U3,VSSOP-10_3x3mm_P0.5mm,1,INA226,
X1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,16MHz,
